,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
0,6,62,1,92,1,False,Austin,CLR,,148.83595280000003,5036.0,9bc59eaa-5402-4238-b1c9-98e19f805bbf,1.63,30.267094,-97.743162,,12,2,"(30.267094, -97.743162)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
1,6,56,1,92,1,False,Austin,CLR,,148.8536072,5036.0,13fca945-f13d-46d1-a97e-1b9f2fa248af,1.63,30.26715167,-97.74321,,12,2,"(30.26715167, -97.74320999999999)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
2,6,81,1,92,1,False,Austin,CLR,,148.8628082,5036.0,36e6c3de-d09f-456f-b0d5-0bc198046bfc,1.63,30.26699333,-97.74313333,,12,2,"(30.26699333, -97.74313333)",4193.0,6841.0,,1.0,TX,2,21,58:52.1,8,97,0.1,0,,78701
3,6,91,1,92,1,False,Austin,CLR,,149.4749298,5036.0,c5d3ea8c-3a83-4e72-946d-0ff76b4f9ad9,1.63,30.26725833,-97.74331667,,12,2,"(30.26725833, -97.74331667)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
4,7,35,1,92,1,False,Austin,CLR,,151.9737091,5036.0,e28b7f2e-dae8-4d43-998e-c16d722ed38a,1.63,30.267405,-97.743035,,12,2,"(30.267405, -97.74303499999999)",4193.0,6841.0,,1.0,TX,2,21,58:52.1,8,97,0.1,0,,78701
5,7,78,1,92,1,False,Austin,CLR,,152.10133359999998,5036.0,c4363aa4-48c6-4375-a2da-88fff667ef2c,1.63,30.26743333,-97.743095,,12,2,"(30.26743333, -97.743095)",4193.0,6841.0,,1.0,TX,2,21,58:52.1,8,97,0.1,0,,78701
6,6,64,1,92,1,False,Austin,CLR,,151.0591583,5036.0,704deb7e-3ad1-494b-84ce-cdc4e53f2cb2,1.63,30.26740333,-97.743225,,12,2,"(30.26740333, -97.743225)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
7,6,62,1,92,1,False,Austin,CLR,,151.10870359999996,5036.0,3c0b8b32-393b-4f87-b3f3-f72cf76b7609,1.63,30.26741333,-97.743225,,12,2,"(30.26741333, -97.743225)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
8,7,66,1,92,1,False,Austin,CLR,,149.02610780000003,5036.0,4ea0af39-e8c9-422b-adb0-8649b61f94b6,1.63,30.26683,-97.74302667,,12,1,"(30.26683, -97.74302667)",4193.0,6841.0,,1.0,TX,2,21,58:52.1,8,97,0.1,0,,78701
9,5,71,1,92,1,False,Austin,CLR,,150.0968018,5036.0,66c88cee-bbea-4b48-a7cd-6cc49e98f1eb,1.63,30.267377000000003,-97.743577,,12,3,"(30.267377000000003, -97.743577)",4193.0,6841.0,,1.0,TX,3,21,58:52.1,8,97,0.1,0,,78701
